royal_id,royal_name,code,sibling_id,sibling_name
5042,"Royal TK 7125 Black Toner",TK-7125,4271,"Kyocera TK-7125 Toner Cartridge"
4994,"Royal TK 715 Black Toner Cartridge",TK-715,4253,"Kyocera TK-715 Toner Cartridge"
4993,"Royal TK 715 Compatible Black Toner",TK-715,4253,"Kyocera TK-715 Toner Cartridge"
5361,"Royal TK 7205 Black Toner Cartridge",TK-7205,4841,"Kyocera TK-7205 Toner Cartridge"
5360,"Royal TK 7205 Compatible Black Toner Cartridge",TK-7205,4841,"Kyocera TK-7205 Toner Cartridge"
5041,"Royal TK 7225 Black Toner",TK-7225,4274,"Kyocera TK-7225 Toner Cartridge"
5040,"Royal TK 7225 Compatible Black Toner",TK-7225,4274,"Kyocera TK-7225 Toner Cartridge"
4992,"Royal TK 7235 Black Toner Cartridge",TK-7235,,""
4991,"Royal TK 7235 Compatible Black Toner Cartridge",TK-7235,,""
5039,"Royal TK 8115 Compatible Toner Cartridge Each",TK-8115,,""
5038,"Royal TK 8115 Toner Cartridge Each",TK-8115,,""
5037,"Royal TK 8305 Black Toner Cartridge",TK-8305,,""
4990,"Royal TK 8305 Compatible Toners Each",TK-8305,,""
5036,"Royal TK 8305 Cym Black Toner Each",TK-8305,,""
5035,"Royal TK 8325 Black Toner Cartridge",TK-8325,4283,"Kyocera TK-8325 Toner Cartridge"
5034,"Royal TK 8325 Cmy Cartridge",TK-8325,4283,"Kyocera TK-8325 Toner Cartridge"
5033,"Royal TK 8335  black Each Toner Cartridge",TK-8335,4280,"Kyocera TK-8335 Toner Cartridge"
5031,"Royal TK 8345 Cym Color Toner Cartridge",TK-8345,,""
5030,"Royal TK 8345K Black Toner Cartridge",TK-8345K,,""
4989,"Royal TK 8365 Compatible Black Toner",TK-8365,4773,"Kyocera TK-8365 Toner Cartridge"
4988,"Royal TK 8375 Color Toners Cmy Each",TK-8375,,""
4987,"Royal TK 8375K Black Toner",TK-8375K,,""
5393,"Royal TK 8505 Compatible Toner Cartridge Each",TK-8505,,""
5392,"Royal TK 8505 Toner Cartridge Each",TK-8505,,""
5391,"Royal TK 8515 Compatible Toners CMYK Each",TK-8515,,""
5390,"Royal TK 8515C Cyan Cartridge",TK-8515C,,""
5389,"Royal TK 8515K Black Cartridge",TK-8515K,,""
5388,"Royal TK 8515M Magenta Cartridge",TK-8515M,,""
5387,"Royal TK 8515Y Yellow Cartridge",TK-8515Y,,""
5029,"Royal TK 8525 Cmy Toner Each",TK-8525,,""
5028,"Royal TK 8525 Compatible Toner Cartridge CMYK Each",TK-8525,,""
5027,"Royal TK 8525K Black Toner Catridge",TK-8525K,,""
5026,"Royal TK 8545 Cmy Toner Each",TK-8545,,""
5359,"Royal TK 8545K Black Toner Cartridge",TK-8545K,,""
5025,"Royal TK 8555 Cym Toner Cartridge",TK-8555,,""
5024,"Royal TK 8555K Compatible Black Toner",TK-8555K,,""
5358,"Royal TK 8705 Black Toner Each Cym",TK-8705,,""
4985,"Royal Toner Cartridge 407S",407S,,""
4983,"Royal Toner Cartridge 85A/35A Black",85A,4580,"HP 85A Black Original Laserjet Toner Cartridge"
4982,"Royal Toner Cartridge 90A/64A",90A,4787,"HP 90A Black Original Laserjet Toner Cartridge"
4980,"Royal Toner Cartridge W1816A Black",W1816A,,""
