"id","name","image_url"
"3480","Dell Vostro 3500 Core I5 4GB/1TB/15.6in UBUNTU Laptop","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/DELL-VOSTRO-3500-laptop.png"
"4048","Eaton 5E 850VA Ups","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Eaton-UPS.png"
"5339","Epson 101 Ecotank Black Ink Bottle 127ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-101-Ecotank-Black-Ink-Bottle-127ML.webp"
"5338","Epson 101 Ecotank Cyan Tank Ink Bottle 70ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/epson-101-ecotank-ink-bottle-cyan-ink-for-printer-refill-70ml-1.webp"
"5337","Epson 101 Ecotank Magenta Ink Bottle 70ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-101-Ecotank-Magenta-Ink-Bottle-70ML.webp"
"5336","Epson 101 Ecotank Yellow Ink Bottle 70ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-101-Ecotank-Yellow-Ink-Bottle-70ML.webp"
"5335","Epson 101/103 Premium Refill Ink For Ecotank Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-101-103-Premium-Refill-Ink-For-Ecotank-Each.webp"
"5334","Epson 103 Ecotank Blacktank Ink Bottle 65ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-103-Ecotank-Blacktank-Ink-Bottle-65ML.webp"
"5333","Epson 103 Ecotank Cyan Tank Ink Bottle 65ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-103-Ecotank-Cyan-Tank-Ink-Bottle-65ML.webp"
"5332","Epson 103 Ecotank Magenta Tank Ink Bottle 65ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-103-Ecotank-Magenta-Tank-Ink-Bottle-65ML.webp"
"5331","Epson 103 Ecotank Yellow Tank Ink Bottle 65ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-103-Ecotank-Yellow-Tank-Ink-Bottle-65ML.webp"
"5330","Epson 110 Ecotank Black Ink Bottle 120ML","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Epson-110-Ecotank-Black-Ink-Bottle-120ML.webp"
